Date,Symbol,Series,Prev_Close,Open,High,Low,Last,Close,Vwap,Volume,Turnover,Trades,Deliverable_Volume,%Deliverble,Price_Change,Percentage_Change,Daily_Return
2015-03-13,TCS,EQ,2619.05,2638.0,2639.95,2575.0,2585.0,2582.35,2594.75,793419,205872125680000.0,67541,481480,0.6068,-55.65000000000009,-2.1095526914329072,-0.014012714533895965
2015-03-16,TCS,EQ,2582.35,2585.2,2610.0,2552.0,2560.6,2562.3,2579.88,778148,200753225295000.0,44209,484279,0.6223,-22.899999999999636,-0.8858115426272489,-0.007764245745154552
2015-03-17,TCS,EQ,2562.3,2582.5,2606.7,2557.75,2583.65,2583.7,2582.66,633659,163652693925000.0,56639,368300,0.5811999999999999,1.199999999999818,0.046466602129712216,0.008351871365569918
2015-03-18,TCS,EQ,2583.7,2590.95,2599.45,2551.7,2556.0,2559.35,2561.86,627585,160778503890000.0,38991,364010,0.58,-31.59999999999991,-1.2196298654933484,-0.009424468785075635
2015-03-19,TCS,EQ,2559.35,2576.0,2605.85,2568.1,2602.0,2596.25,2596.45,1224482,317930347245000.0,71701,888461,0.7256,20.25,0.7861024844720497,0.014417723250043979
2015-03-20,TCS,EQ,2596.25,2596.0,2618.0,2578.85,2610.85,2610.95,2608.5,981954,256142270235000.0,74415,714293,0.7273999999999999,14.949999999999818,0.5758859784283443,0.005662012518054871
2015-03-23,TCS,EQ,2610.95,2616.0,2631.0,2606.0,2616.0,2617.15,2616.73,783304,204969532200000.0,59518,575211,0.7343000000000001,1.150000000000091,0.04396024464832152,0.0023746146038798877
2015-03-24,TCS,EQ,2617.15,2630.0,2637.0,2582.1,2600.0,2591.3,2617.59,1197439,313440933310000.0,58016,848633,0.7087000000000001,-38.69999999999982,-1.4714828897338332,-0.009877156448808821
2015-03-25,TCS,EQ,2591.3,2591.4,2614.0,2545.2,2569.85,2573.75,2575.29,1112429,286482690440000.0,75792,825133,0.7417,-17.65000000000009,-0.6810990198348418,-0.006772662370238991
2015-03-26,TCS,EQ,2573.75,2553.3,2586.7,2501.0,2515.0,2513.1,2535.65,1545821,391966545665000.0,82115,1110655,0.7184999999999999,-40.20000000000027,-1.5744330865938305,-0.02356483729966008
2015-03-27,TCS,EQ,2513.1,2531.0,2571.9,2504.1,2519.9,2514.8,2536.73,1375888,349025716790000.0,76990,947653,0.6888,-16.199999999999818,-0.6400632161201034,0.0006764553738412005
2015-03-30,TCS,EQ,2514.8,2525.0,2569.9,2520.0,2554.2,2564.15,2546.18,669503,170467464790000.0,64141,461568,0.6894,39.15000000000009,1.550495049504954,0.01962382694448861
2015-03-31,TCS,EQ,2564.15,2569.45,2569.45,2521.0,2560.0,2553.95,2548.15,1213514,309221533160000.0,88908,862309,0.7106,-15.5,-0.6032419389363484,-0.003977926408361587
2015-04-01,TCS,EQ,2553.95,2558.0,2563.6,2522.25,2544.05,2542.65,2538.81,1037879,263498131745000.0,54078,784911,0.7563,-15.349999999999909,-0.6000781860828737,-0.0044245188825151605
2015-04-06,TCS,EQ,2542.65,2558.0,2562.9,2500.1,2548.3,2547.3,2531.53,784271,198540479680000.0,45408,485665,0.6193,-10.699999999999818,-0.41829554339326885,0.0018288006607281027
2015-04-07,TCS,EQ,2547.3,2562.45,2599.0,2544.0,2588.95,2585.0,2571.5,943461,242611136905000.03,77106,562689,0.5964,22.550000000000182,0.8800171710667597,0.014799984297098723
2015-04-08,TCS,EQ,2585.0,2594.0,2656.5,2590.85,2646.0,2641.4,2632.0,826067,217420827940000.0,61358,496296,0.6008,47.40000000000009,1.8272937548188162,0.02181818181818196
2015-04-09,TCS,EQ,2641.4,2659.0,2687.45,2635.15,2662.6,2664.55,2658.35,1272225,338201771475000.0,62583,902143,0.7091,5.550000000000182,0.2087250846182844,0.00876429166351178
2015-04-10,TCS,EQ,2664.55,2648.5,2670.8,2628.0,2651.1,2653.75,2648.39,907772,240413514280000.03,63471,625228,0.6888,5.25,0.19822541060977913,-0.004053217241185236
2015-04-13,TCS,EQ,2653.75,2664.0,2665.0,2628.0,2653.85,2655.5,2650.09,654321,173401144210000.0,54293,451036,0.6893000000000001,-8.5,-0.31906906906906907,0.0006594441827603159
2015-04-15,TCS,EQ,2655.5,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,1456967,385551302470000.0,74856,927588,0.6367,-26.949999999999818,-1.0151806230459117,-0.010450009414422867
